"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
01,"Alabama",61.5417,8,-1.5435,63.1
02,"Arizona",61.1083,110,1.7664,59.3
03,"Arkansas",59.0667,11,-1.3499,60.4
04,"California",59.9833,123,2.6193,57.4
05,"Colorado",45.3833,90,0.7953,44.6
06,"Connecticut",49.35,101,1.3127,48
07,"Delaware",55.2083,95,1.0218,54.2
08,"Florida",70.8917,96,0.7707,70.1
09,"Georgia",62.35,16,-1.0132,63.4
10,"Idaho",44.3333,114,1.7504,42.6
11,"Illinois",50.2583,18,-1.3571,51.6
12,"Indiana",50.3333,24,-0.9783,51.3
13,"Iowa",46.0083,13,-1.5031,47.5
14,"Kansas",53.4917,37,-0.6381,54.1
15,"Kentucky",54.2167,16,-1.2764,55.5
16,"Louisiana",65.4917,19,-0.8947,66.4
17,"Maine",41.8333,107,1.7491,40.1
18,"Maryland",54.0083,62,0.2442,53.8
19,"Massachusetts",48.425,103,1.505,46.9
20,"Michigan",43.1667,49,-0.3771,43.5
21,"Minnesota",38.5667,16,-1.4979,40.1
22,"Mississippi",62.2,9,-1.428,63.6
23,"Missouri",52.9417,12,-1.5557,54.5
24,"Montana",42.6167,103,1.4847,41.1
25,"Nebraska",48.45,70,0.0618,48.4
26,"Nevada",51.4167,115,1.944,49.5
27,"New Hampshire",43.8917,104,1.5638,42.3
28,"New Jersey",52.55,95,1.109,51.4
29,"New Mexico",54.0417,99,1.2061,52.8
30,"New York",45.1083,82,0.611,44.5
31,"North Carolina",57.825,25,-0.7044,58.5
32,"North Dakota",38.55,35,-1.1333,39.7
33,"Ohio",49.9833,38,-0.4318,50.4
34,"Oklahoma",58.525,17,-1.1498,59.7
35,"Oregon",48.225,114,1.7526,46.5
36,"Pennsylvania",48.225,57,0.0971,48.1
37,"Rhode Island",50.2917,104,1.7306,48.6
38,"South Carolina",61.45,19,-0.9483,62.4
39,"South Dakota",43.95,50,-0.6057,44.6
40,"Tennessee",56.2,8,-1.4699,57.7
41,"Texas",64.825,58,0.1956,64.6
42,"Utah",48.6417,95,1.1144,47.5
43,"Vermont",42.9,104,1.5695,41.3
44,"Virginia",54.3583,36,-0.4513,54.8
45,"Washington",47.5667,112,1.4351,46.1
46,"West Virginia",50.9083,31,-0.6711,51.6
47,"Wisconsin",40.875,17,-1.4806,42.4
48,"Wyoming",41.9583,96,1.2111,40.7
