"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
01,"Alabama",64.625,113,1.5398,63.1
02,"Arizona",62.525,127,3.1831,59.3
03,"Arkansas",60.9417,85,0.5251,60.4
04,"California",60.5333,126,3.1693,57.4
05,"Colorado",47.2,123,2.612,44.6
06,"Connecticut",51.4667,124,3.4294,48
07,"Delaware",57.65,124,3.4635,54.2
08,"Florida",72.9667,126,2.8457,70.1
09,"Georgia",65.3,122,1.9368,63.4
10,"Idaho",44.275,114,1.6921,42.6
11,"Illinois",53.1167,105,1.5013,51.6
12,"Indiana",52.975,111,1.6633,51.3
13,"Iowa",49.2167,106,1.7053,47.5
14,"Kansas",55.6167,107,1.4869,54.1
15,"Kentucky",56.7667,104,1.2736,55.5
16,"Louisiana",67.9,115,1.5137,66.4
17,"Maine",43.5583,124,3.4741,40.1
18,"Maryland",56.8917,124,3.1275,53.8
19,"Massachusetts",50.6333,126,3.7133,46.9
20,"Michigan",46.375,117,2.8313,43.5
21,"Minnesota",42.75,116,2.6854,40.1
22,"Mississippi",65.1583,114,1.5303,63.6
23,"Missouri",55.6833,100,1.186,54.5
24,"Montana",43.5583,114,2.4263,41.1
25,"Nebraska",50.725,119,2.3368,48.4
26,"Nevada",52.3083,124,2.8357,49.5
27,"New Hampshire",45.6667,125,3.3388,42.3
28,"New Jersey",55.225,124,3.784,51.4
29,"New Mexico",55.8417,127,3.0061,52.8
30,"New York",47.5083,122,3.011,44.5
31,"North Carolina",60.3917,118,1.8622,58.5
32,"North Dakota",42.9333,119,3.25,39.7
33,"Ohio",52.6917,117,2.2765,50.4
34,"Oklahoma",60.5,97,0.8252,59.7
35,"Oregon",48.8167,122,2.3442,46.5
36,"Pennsylvania",50.9333,123,2.8054,48.1
37,"Rhode Island",52.4667,126,3.9056,48.6
38,"South Carolina",64.2583,120,1.86,62.4
39,"South Dakota",47.2917,116,2.7359,44.6
40,"Tennessee",58.9917,108,1.3218,57.7
41,"Texas",66.5833,121,1.9539,64.6
42,"Utah",50.3333,124,2.8061,47.5
43,"Vermont",44.5833,123,3.2528,41.3
44,"Virginia",57.0917,123,2.2821,54.8
45,"Washington",48.0917,120,1.9601,46.1
46,"West Virginia",53.5583,118,1.9789,51.6
47,"Wisconsin",44.725,114,2.3694,42.4
48,"Wyoming",42.7417,111,1.9944,40.7
